quantity,name,image,weapons,armor,accessories,value,city
1,industry---bauxite,https://s3.amazonaws.com/files.component.studio/0283FA74-0CF1-11E8-B26A-CF67E261B13A/industry---bauxite.png,2,1,2,5,
1,industry---coal,https://s3.amazonaws.com/files.component.studio/0164185E-0CF1-11E8-93C7-B7AAE261B13A/industry---coal.png,1,1,3,5,
1,industry---cocaine,https://s3.amazonaws.com/files.component.studio/009AF64A-0CF1-11E8-B26A-CF67E261B13A/industry---cocaine.png,4,1,1,6,
1,industry---coffee,https://s3.amazonaws.com/files.component.studio/019EC7BA-0CF1-11E8-93C7-B7AAE261B13A/industry---coffee.png,2,1,1,4,
1,industry---copper,https://s3.amazonaws.com/files.component.studio/0145CE6C-0CF1-11E8-B26A-CF67E261B13A/industry---copper.png,2,1,3,6,
1,industry---diamond,https://s3.amazonaws.com/files.component.studio/FF35CB7C-0CF0-11E8-93C7-B7AAE261B13A/industry---diamond.png,3,1,2,6,
1,industry---fishing,https://s3.amazonaws.com/files.component.studio/F87FCF76-0CF0-11E8-B26A-CF67E261B13A/industry---fishing.png,1,1,2,4,
1,industry---gold,https://s3.amazonaws.com/files.component.studio/03FFD382-0CF1-11E8-93C7-B7AAE261B13A/industry---gold.png,2,1,3,6,
1,town---a,https://s3.amazonaws.com/files.component.studio/03ED8380-0CF1-11E8-93C7-B7AAE261B13A/town---a.png,1,,1,2,1
1,Untitled,,,,,,
1,wilderness9,https://s3.amazonaws.com/files.component.studio/02B9FA7A-0CF1-11E8-93C7-B7AAE261B13A/wilderness9.png,,,1,1,
1,wilderness10,https://s3.amazonaws.com/files.component.studio/03EDB8C8-0CF1-11E8-B26A-CF67E261B13A/wilderness10.png,,,1,1,
1,wilderness11,https://s3.amazonaws.com/files.component.studio/03D9172E-0CF1-11E8-93C7-B7AAE261B13A/wilderness11.png,,,1,1,
1,wilderness12,https://s3.amazonaws.com/files.component.studio/03DCB4C4-0CF1-11E8-B26A-CF67E261B13A/wilderness12.png,,,1,1,
1,wilderness13,https://s3.amazonaws.com/files.component.studio/03E8F4FA-0CF1-11E8-93C7-B7AAE261B13A/wilderness13.png,,,1,1,
1,wilderness14,https://s3.amazonaws.com/files.component.studio/F67598E6-0CF0-11E8-B26A-CF67E261B13A/wilderness14.png,,,1,1,
1,wilderness20,https://s3.amazonaws.com/files.component.studio/00ECC132-0CF1-11E8-93C7-B7AAE261B13A/wilderness20.png,,,1,1,
